,question_text,question_topic
94,"I want to possibly purchase protein powder but am unsure what kind I want. Do you usually have a wide selection of protein powders on display in your stores? Are there any GNC stores near New Salem, ND?",Omnichannel
95,"Could you let me know if your store on Tysons Corner Center in McLean, VA is open on Mondays? I know some places aren't at the start of the week there. Also, what's the main number to that store? I'd like to speak to someone there in person.",Omnichannel
96,"When do you think I'd receive the Item: SW940 if I order it tomorrow and it's being shipped to Oakland, CA? Do you have an overnight shipping option?",Shipping
97,I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a women's fragrances like your website?,Omnichannel
98,"I know you have a store on Meadow Lane in Pewaukee, WI. Do you happen to know what time that place opens on Tuesdays? And also, could you tell me if that location has 212878 in stock right now?",Omnichannel
99,"Is there a way to sign up for delivery alerts via text? I'm going to be ordering the crystal brle stone stretch bracelet, product B129MU, and having it sent to me in Pineville, NC 28134, and I'd love to get an alert when it arrives. Also, will I get an email notification when this is posted to the mail?",Shipping
100,"When do you think I'd receive the SKU #: 089836185259 if I order it tomorrow and it's being shipped to Oakland, CA? Do you have an overnight shipping option?",Shipping
101,"I have a couple of questions. First of all, do you have any stores within 20 miles or so of Quakertown, PA (Zip: 18951)? And then secondly, could I return an item bought online at that store, or do you only accept those types of returns over the mail?",Omnichannel
102,"Is there a way to sign up for delivery alerts via text? I'm going to be ordering the clip 2 wireless speaker, product JBLCLIP2BLKAM, and having it sent to me in Pineville, NC 28134, and I'd love to get an alert when it arrives. Also, will I get an email notification when this is posted to the mail?",Shipping
103,"Is there a way to sign up for delivery alerts via text? I'm going to be ordering the jessica simpson calie, product 7858511, and having it sent to me in Pineville, NC 28134, and I'd love to get an alert when it arrives. Also, will I get an email notification when this is posted to the mail?",Shipping
104,"When do you think I'd receive the Now turmeric & Bromelain if I order it tomorrow and it's being shipped to Oakland, CA? Do you have an overnight shipping option?",Shipping
105,"I want to possibly purchase protein powder but am unsure what kind I want. Do you usually have a wide selection of protein powders on display in your stores? Are there any Vitamin Shoppe stores near New Salem, ND?",Omnichannel
106,"Could you tell me if there's a Barnes and Noble anywhere near Omaha, Nebraska? Do your stores have special sales or would they be the same sales as your website?",Omnichannel
107,"Does your University Village location in Seattle, WA have the run for cold jacket on your website right now, size 2? Can I have this shipped to that store so I can see it before I buy it in person?",Omnichannel
108,I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a women's fragrances like your website?,Omnichannel
109,I'm going to be making a trip to my local Abercrombie store in the coming days and was just wondering if your stores offer a layaway program?,Omnichannel
110,"I might like to get this Raybestos lug nut set (sp32338), and I would need it within six business days. What's the cheapest shipping option that would get it to me with plenty of time? I live in Frederick, MD (Zip: 21701). And second, could I leave instructions so that the delivery driver leaves the package at the front office of my apartment complex instead of my door?",Shipping
111,"Does your west Towne Mall location in Madison, WI 53719 have the patchwork bag (item 58159) on your website right now? Can I have this shipped to that store so I can see it before I buy it in person?",Omnichannel
112,"Does your SoHo location in New York, NY 10012 have the XL oval link necklace (item CH0287 S8) on your website right now? Can I have this shipped to that store so I can see it before I buy it in person?",Omnichannel
113,"When do you think I'd receive the Now Foods turmeric & bromelain code:NOW-03110 if I order it tomorrow and it's being shipped to Oakland, CA? Do you have an overnight shipping option?",Shipping
114,I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a beauty section like your website?,Omnichannel
115,"I really like this Breville tea maker you have available online. Is it available for the same price at your store on West Market in Bloomington, MN, however? Also, are there any other locations within 5 to 10 miles of that store?",Omnichannel
116,"I want to get the Valentino earrings #646146 but would like to assure I'll be home when it's delivered. Could I require a signature upon delivery so if it is in fact delivered when I'm out, it will be kept at the post office? When would the estimated delivery date be if the earrings are being sent to Boston, MA?",Shipping
117,"Is there a way to sign up for delivery alerts via text? I'm going to be ordering a spare ecig battery, and having it sent to me in Pineville, NC 28134, and I'd love to get an alert when it arrives. Also, will I get an email notification when this is posted to the mail?",Shipping
118,"When do you think I'd receive the Puritan's Pride turmeric #051441 if I order it tomorrow and it's being shipped to Oakland, CA? Do you have an overnight shipping option?",Shipping
119,I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a women's fragrances like your website?,Omnichannel
120,"Does your bridge street town centre location in Huntsville, AL 35806 have the cameron street byrdie (item pxru6912) on your website right now? Can I have this shipped to that store so I can see it before I buy it in person?",Omnichannel
121,"I was wondering if you'd be able to overnight the Furinno computer desk ASIN:B003VP5Y4I to me in Trenton, NJ? If I settle for standard shipping, when would I receive this?",Shipping
122,"I really like this Krups tea kettle (3018728) you have available online. Is it available for the same price at your store on Old Orchard Center in Skokie, IL , however? Also, are there any other locations within 5 to 10 miles of that store?",Omnichannel
123,"I have a couple of questions. First of all, do you have any stores within 20 miles or so of Quakertown, PA (Zip: 18951)? And then secondly, could I return an item bought online at that store, or do you only accept those types of returns over the mail?",Omnichannel
124,I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a Home section like your website?,Omnichannel
125,"I have a couple of questions. First of all, do you have any stores within 20 miles or so of Quakertown, PA (Zip: 18951)? And then secondly, could I return an item bought online at that store, or do you only accept those types of returns over the mail?",Omnichannel
126,"Does your location in SILVERTHORNE, CO 80498 have the red puffy vest (item 241095) on your website right now, size L? Can I have this shipped to that store so I can see it before I buy it in person?",Omnichannel
127,"Could you let me know if your store on N. Pointe Blvd in Statesville, NC is open on Mondays? I know some places aren't at the start of the week there. Also, what's the main number to that store? I'd like to speak to someone there in person.",Omnichannel
128,"I was wondering if you'd be able to overnight the Corner Laptop Writing Desk with Optional Hutch to me in Trenton, NJ? If I settle for standard shipping, when would I receive this?",Shipping
129,"Does your Town Center Plaza location in Midwest City, OK 73110 have the jacquard sweater (item 239077) on your website right now, size 26/28? Can I have this shipped to that store so I can see it before I buy it in person?",Omnichannel
130,"Is there a way to sign up for delivery alerts via text? I'm going to be ordering the not rated moonwalkin, product 8796977, and having it sent to me in Pineville, NC 28134, and I'd love to get an alert when it arrives. Also, will I get an email notification when this is posted to the mail?",Shipping
131,"I was wondering if you'd be able to overnight this sweater 8781A to me in Trenton, NJ? Do you provide tracking info with all your orders?",Shipping
132,"When do you think I'd receive the LuckyHerbs turmeric extract #131292 if I order it tomorrow and it's being shipped to Oakland, CA? Do you have an overnight shipping option?",Shipping
133,"Where's the closest Victoria's Secret in relation to Gainesville, FL? Do your stores have a lot of fragrances and body sprays I'd be able to check out?",Omnichannel
134,"Is there a way to sign up for delivery alerts via text? I'm going to be ordering the basket of blooms, product 105644, and having it delivered to me in Pineville, NC 28134, and I'd love to get an alert when it arrives. Also, will I get an email notification when this is posted to the mail?",Shipping
135,"I have a couple of questions. First of all, do you have any stores within 20 miles or so of Quakertown, PA (Zip: 18951)? And then secondly, could I return an item bought online at that store, or do you only accept those types of returns over the mail?",Omnichannel
136,I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a toys section like your website?,Omnichannel
137,I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a women's fragrances like your website?,Omnichannel
138,"I'd like to get this patio lounger (MCRR5985), and it wouldn't be in any sort of rush. Is there a free or really cheap shipping option if time is not really a factor? And then also, would there need to be someone to sign for the package, or can it just be left at my door?",Shipping
139,"Could you let me know if your store on Ponce De Leon in Atlanta, GA is open on Mondays? I know some places aren't at the start of the week there. Also, what's the main number to that store? I'd like to speak to someone there in person.",Omnichannel
140,"This polish 3614270303814 looks really nice! However, if I were to have that sent to my condo in clarksville, TN 37040, could you have your delivery people leave it with my neighbor? I'm usually gone during the day because of work. And do you know how much it would cost to ship that product to my place?",Shipping
141,I want to get a couple of blazers on your website but I'd like to see some in person first. Do you usually have men's blazers on display in your stores? Do your stores have a Home section like your website?,Omnichannel
142,Do you know if I'd be able to reserve items on your website to be picked up at my local Hollister store?,Omnichannel
143,Do you know offhand if there are liner layer that can be removed and washed in the padded coat (item 734919) or the oversized coat (item 893578)? Do these have an interior breastpocket at all? I like storing my gloves in there.,Product Comparison
144,Does the Cotton Blend Faux Fur Parka (item T166477M) have a liner layer in it? How many pockets total are on this?,Product Specifications
145,I might order the shine romper (137060). Could you tell me what kind of material this is made of? I can't tell from the picture but is there a zipper on the back of this?,Product Specifications
146,"I have the older model of this panini press, SKU: 648584, and I really love it! Is this model any larger, by chance? Also, are the plates cast iron or aluminum? I find aluminum is easier to clean.",Product Specifications
147,"I was checking out this one wood frame loveseat, Item: 3039943. Is it constructed of solid hardwood, by chance? Also, how tall does this sit? I dont want it to block my window.",Product Specifications
148,"Do you know what the temperature rating is for this peacoat, style #114206246? What materials compose this coat?",Product Specifications
149,Does the hooded technical jacket item 126579 have a liner layer in it? How many pockets total are on this?,Product Specifications
150,"I was checking out this one bathroom vanity, Model # BF90225, I saw on your site, and it's beautiful! Is the mirror included, by chance? Also, how tall is it?",Product Specifications
151,"Do you know what the temperature rating is for this fleece peacoat, Item #: TA295940? What materials compose this coat?",Product Specifications
152,"Do you know if this chocolate whey protein powder, ITEM # : VS-2269/1565605, is gluten free? How many grams of fat are in each serving?",Product Specifications
153,"Does this utility jacket, item #242165, have a liner layer in it? How many pockets total are on this?",Product Specifications
154,"I was checking out this one bathroom vanity, Item # 666579, I saw on your site, and it's beautiful! Is the mirror included, by chance? Also, how tall is it?",Product Specifications
155,"I'm looking to get either of these two robes, Item #16453 or Item #176WV, but wanted to know what the difference in length was between the two in a medium size? Would I be able to machine-wash either of these?",Product Comparison
156,"What are the thicknesses on the chains of these long pendant necklaces, style N104G and style N336? I'm also wondering if you can give me a measurement on how large the pendents are?",Product Comparison
157,"Do you know what the temperature rating is for this cotton-blend peacoat, Style code: 0400090945212? What materials compose this coat?",Product Specifications
158,"Are you able to tell me what the difference is between these wireless headphones, item UAJBLWIRELESSB, and these wireless sport headphones, item UAJBLIEBTBLK, is? Do these come with different earbud cap sizes, so I can tailor the fit to my ears?",Product Comparison
159,"I have the older model of this one panini press, Item: 5-2268175, and I really love it! Is this model any larger, by chance? Also, are the plates cast iron or aluminum? I find aluminum is easier to clean.",Product Specifications
160,"I'm looking for something in the realm of these monk strap dress shoes, SKU 8846743 and SKU 8846718 specifically. Are the straps on these functional or just for show? What type of leather are these made of?",Product Comparison
161,"Would you please be able to tell me what's all included with these kosher sweets and fruits baskets: product 149661 and product 149689? Do they come assembled and arranged, or will I have to do that after I get them?",Product Comparison
162,"Im looking for a face primer that can absorb extra oil. Does either of these primers, #3605533145852 or #3605533253663, do that? I would also like one that can minimize pores. Do you know if either one does that, as well?",Product Comparison
163,Do you know what the temperature rating is for this double-breasted wool blend peacoat #2515869? What materials compose this coat?,Product Specifications
164,"What's the thickness of the band on this ring, style R12818 88BTQ? And how large are those turquois balls?",Product Specifications
165,How long is the short battery going to last vs. the long battery? Are they both compatible with the same charging equipment?,Product Comparison
166,"Which TV has more HDMI ports- this 49"" Sony TV or this 49"" Samsung TV? Do you know which has a longer power cord?",Product Comparison
167,"I'm looking at ordering either these chocolate peanut butter bars, Product Code: UNN-08139, or these peanut butter white chocolate bars, Product Code: MMX-20184, but could you first tell me which has less carbohydrates per serving? Are these both gluten free?",Product Comparison
168,"What are the actual dimensions of the Samsung Galaxy Tab S2 NOOK? Also, do you know about how many books and/or movies I'd be able to store on here?",Product Specifications
169,"Do you know what the temperature rating is for this double-breasted peacoat, Web ID: 2788978? What materials compose this coat?",Product Specifications
170,"This full panel headboard, SKU: TH3879, is beautiful, but I see its not made of solid hardwood. Is this headboard, SKU: TH4268, also a mix of woods? Are either of these pieces made with any type of metal support in them?",Product Comparison
171,"Im looking for a face primer that can absorb extra oil. Does either the Matte Perfecting Primer or the Illuminating Perfecting Primer do that? I would also like one that can minimize pores. Do you know if either one does that, as well?",Product Comparison
172,"I was checking out this one love seat, Item Number: 193469. Is it constructed of solid hardwood, by chance? Also, how tall does this sit? I dont want it to block my window.",Product Specifications
173,"I was checking out this one loveseat, Item: 2825956. Is it constructed of solid hardwood, by chance? Also, how tall does this sit? I dont want it to block my window.",Product Specifications
174,"I'm looking at ordering either these almond fudge brownie protein bars, Item: ISS003, or these chocolate fudge protein bars, Item: THP004, but could you first tell me which has less carbohydrates per serving? Are these both gluten free?",Product Comparison
175,"I'm looking for something in the realm of these monk strap dress shoes, SKU: #8846420 or SKU: #8615864. Are the straps on these functional or just for show? What type of leather are these made of?",Product Comparison
176,Which TV has more HDMI ports- ASIN: B01IPHDNB2 or ASIN: B00NVS9FYA? Do you know which has a longer power cord?,Product Comparison
177,"I'm looking at ordering either these Supreme Protein Bars in peanut butter & jelly or the Quest Bars, also in peanut butter & jelly, but could you first tell me which has less carbohydrates per serving? Are these both gluten free?",Product Comparison
178,"Do you know what the temperature rating is for this grayback peacoat, Item #480994A86? What materials compose this coat?",Product Specifications
179,"Could you tell me what kind of material this high-neck bodysuit, AJ-360-185, is composed of? What's the best way to wash this?",Product Specifications
180,"I'm looking at ordering either these chocolate chip protein bars, Item #: 155071, or these sea salt protein bars, Item #: 148246, but could you first tell me which has less carbohydrates per serving? Are these both gluten free?",Product Comparison
181,"I'm looking at ordering either these chocolate peanut butter protein bars, Item #057567, or these protein bars also in chocolate peanut butter, Item #024608, but could you first tell me which has less carbohydrates per serving? Are these both gluten free?",Product Comparison
182,"How long of a battery life does this touch screen laptop, Item # 403320, have? Also, does it have multiple USB ports, or just one? It seems like computers these days have limited USBs, which I find a little annoying.",Product Specifications
183,"I might order this wrap front romper, WEB ITEM: 147686. Could you tell me what kind of material this is made of? I can't tell from the picture but is there a zipper on the back of this?",Product Specifications
184,"Do you know if this gourmet chocolate whey protein powder, item #360000 is gluten free? How many grams of fat are in each serving?",Product Specifications
185,"I'm looking at ordering either these chocolate peanut butter protein bars, SKU #: 888849000463, or these protein bars, SKU #: 749826125527, also in chocolate peanut butter, but could you first tell me which has less carbohydrates per serving? Are these both gluten free?",Product Comparison
186,"Is this multi-rejuvenating cream, ITEM 1737865, a cream I should be using at night? I also am very sensitive to fragrances, so does this product have any fragrances in it?",Product Specifications
187,"How long of a battery life does this HP laptop, Item: 2274700, have? Also, does it have multiple USB ports, or just one? It seems like computers these days have limited USBs, which I find a little annoying.",Product Specifications
188,I think I have it narrowed down between these air compressors: Item # mpn2625953548 and Item # mpn2472496. Whats the max pressure on each of those? And do both of them come with a regulator?,Product Comparison
189,"Do you know what the temperature rating is for this peacoat, ITEM# 783N? What materials compose this coat?",Product Specifications
190,"I was checking out this one upholstered loveseat, Item: 7728702. Is it constructed of solid hardwood, by chance? Also, how tall does this sit? I dont want it to block my window.",Product Specifications
191,"Does this puffer coat, ITEM #239241, have a liner layer in it? How many pockets total are on this?",Product Specifications
192,"I'm looking to get either this striped satin-twill dress in a size US6, Product Code: 802943, or this washed denim shirt dress in a size FR38, Product Code: 812168, but wanted to know what the difference in length was between the two? Would I be able to machine-wash either of these?",Product Comparison
193,"Do you know what the temperature rating is for this peacoat, Item #1119467? What materials compose this coat?",Product Specifications
194,"For this short sleeve crew, SKU# 3713185, is there any elastic material in the blend? Does this come with a tearaway tag? I hate tags on my workout attire and I just want to make sure it won't be a huge pain to remove.",Product Specifications
195,"Do you know what the temperature rating is for this wool-blend peacoat, Online Inquiries: NMF17_TCVDU? What materials compose this coat?",Product Specifications
196,"Do you know what the temperature rating is for this Italian cashmere peacoat, item E1199? What materials compose this coat?",Product Specifications
197,Is the strap on this wristlet style no. 55716 fully removeable? How many total interior pockets will this include?,Product Specifications
198,"Is the strap on this Emerson bag, style # pxru7285, fully removeable? How many total interior pockets will this include?",Product Specifications
199,"For product returns on something like the crew sweatshirt size M (148590), do I get some sort of notification when you guys get it back and start the refund?",Returns & Refunds
200,"I have a question for you. If I order the fur-trimmed bomber (code 884942) and my package is stolen, do you provide a replacement or will I have to go through the delivery provider for that? There have been a rash of package thefts in my neighbourhood this winter and unfortunately, I'm not home during the day to watch out for this.",Returns & Refunds
201,"I have a question for you. If I order the Cotton Blend V-Neck Cardigan (code T307012M ) and my package is stolen, do you provide a replacement or will I have to go through the delivery provider for that? There have been a rash of package thefts in my neighbourhood this winter and unfortunately, I'm not home during the day to watch out for this.",Returns & Refunds
202,"I think I am going to purchase a duffel bag (Item #185KK but if I don't like it upon receiving it, would I be able to return for a full refund?",Returns & Refunds
203,"I have a question for you. If I order the circle pendant necklace (code N437S) and my package is stolen, do you provide a replacement or will I have to go through the delivery provider for that? There have been a rash of package thefts in my neighborhood this winter and unfortuantely, I'm not home during the day to watch out for this.",Returns & Refunds
204,"I think I am going to purchase a duffel bag (tem #: TA155536) but if I don't like it upon receiving it, would I be able to return for a full refund?",Returns & Refunds
205,"I have a question for you. If I order the express kit and my package is stolen, do you provide a replacement or will I have to go through the delivery provider for that? There have been a rash of package thefts in my neighborhood this winter and unfortuantely, I'm not home during the day to watch out for this.",Returns & Refunds
206,"I think I am going to purchase a duffel bag (ITEM# UL00186) but if I don't like it upon receiving it, would I be able to return for a full refund?",Returns & Refunds
